trade_date,signal_month,strategy_type,selected_expression,held_contract,front_contract,forward_contract,target_position,effective_leverage,hands,daily_pnl,trade_cost,equity,mm_index,dominant_state,trade_direction,daily_return,cum_return,drawdown
2025-01-10,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-1890.0,0.0,1804497.0,63.1578947368421,远期供给,long_single,-0.0010462874234591357,0.804497,-0.05065346926363834
2025-01-13,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,2970.0,0.0,1807467.0,63.1578947368421,远期供给,long_single,0.0016458880230889594,0.8074669999999999,-0.04909095117893836
2025-01-14,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,5940.0,0.0,1813407.0,63.1578947368421,远期供给,long_single,0.0032863670540042023,0.813407,-0.04596591500953817
2025-01-15,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-810.0,0.0,1812597.0,63.1578947368421,远期供给,long_single,-0.0004466730303787081,0.812597,-0.04639205630536547
2025-01-16,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-7020.0,0.0,1805577.0,63.1578947368421,远期供给,long_single,-0.0038728961815560625,0.805577,-0.05008528086920194
2025-01-17,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-1620.0,0.0,1803957.0,63.1578947368421,远期供给,long_single,-0.0008972201130165169,0.803957,-0.05093756346085654
2025-01-20,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-16200.0,0.0,1787757.0,63.1578947368421,远期供给,long_single,-0.008980258398620378,0.787757,-0.05946038937740228
2025-01-21,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,5130.0,0.0,1792887.0,63.1578947368421,远期供给,long_single,0.0028695175015396313,0.7928869999999999,-0.0567614945038295
2025-01-22,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-9720.0,0.0,1783167.0,63.1578947368421,远期供给,long_single,-0.005421423659159763,0.783167,-0.06187519005375697
2025-01-23,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,-5940.0,0.0,1777227.0,63.1578947368421,远期供给,long_single,-0.0033311518214502733,0.7772269999999999,-0.06500022622315704
2025-01-24,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,1350.0,0.0,1778577.0,63.1578947368421,远期供给,long_single,0.0007596103367775164,0.7785770000000001,-0.06428999073011155
2025-01-27,2024-12-01,single_contract,light_rf_single_leg_model,JD2502.DCE,,,1.0,0.5,54.0,27000.0,432.0,1805145.0,63.1578947368421,远期供给,long_single,0.01493778453224115,0.805145,-0.0503125562269765
2025-02-05,2025-01-01,single_contract,light_rf_single_leg_model,JD2503.DCE,,,-1.0,0.5,-56.0,-0.0,448.0,1804697.0,7.462686567164178,真实需求,short_single,-0.000248179509125257,0.804697,-0.05054824919059464
2025-02-06,2025-01-01,single_contract,light_rf_single_leg_model,JD2503.DCE,,,-1.0,0.5,-56.0,22960.0,0.0,1827657.0,7.462686567164178,真实需求,short_single,0.012722357271054419,0.8276570000000001,-0.03846898480516925
2025-02-07,2025-01-01,single_contract,light_rf_single_leg_model,JD2503.DCE,,,-1.0,0.5,-56.0,-11760.0,0.0,1815897.0,7.462686567164178,真实需求,short_single,-0.006434467736561089,0.8158970000000001,-0.04465592510014316
